YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in CWT","YIELD in LB / ACRE","PRODUCTION in $"
1909,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","764,000","768,000","6,430,000",888,"21,248,000"
1909,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","404,000","404,000","3,064,000",786,"9,498,000"
1910,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","800,000","809,000","6,079,000",817,"20,892,000"
1910,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","420,000","420,000","2,945,000",750,"8,688,000"
1911,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","475,000","540,000","2,907,000",720,"10,029,000"
1911,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","931,000","1,010,000","6,659,000",799,"23,772,000"
1912,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","954,000","992,000","6,736,000",785,"23,140,000"
1912,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","513,000","534,000","3,541,000",780,"11,331,000"
1913,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","953,000","981,000","6,057,000",681,"20,525,000"
1913,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","510,000","510,000","3,325,000",690,"9,476,000"
1914,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","963,000","986,000","7,208,000",812,"28,835,000"
1914,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","490,000","500,000","2,990,000",672,"11,661,000"
1915,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","506,000","556,000","2,099,000",504,"11,544,000"
1915,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,085,000","1,156,000","7,251,000",743,"35,374,000"
1916,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","470,000","485,000","1,656,000",396,"17,388,000"
1916,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,173,000","1,349,000","6,450,000",611,"60,041,000"
1917,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","537,000","639,000","1,696,000",408,"19,334,000"
1917,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,832,000","2,108,000","9,036,000",552,"90,781,000"
1918,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","500,000","500,000","2,484,000",540,"18,878,000"
1918,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,625,000","1,787,000","9,281,000",639,"67,742,000"
1919,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","315,000","315,000","2,491,000",828,"16,690,000"
1919,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,089,000","1,127,000","7,799,000",751,"55,930,000"
1920,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","926,000","964,000","5,809,000",663,"24,576,000"
1920,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","334,000","334,000","2,533,000",786,"8,866,000"
1921,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","314,000","314,000","2,050,000",702,"9,328,000"
1921,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","875,000","905,000","5,772,000",707,"27,578,000"
1922,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,138,000","1,254,000","7,324,000",700,"43,883,000"
1922,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","458,000","509,000","2,766,000",660,"16,873,000"
1923,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","536,000","536,000","3,550,000",720,"17,040,000"
1923,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,330,000","1,387,000","8,955,000",729,"49,326,000"
1924,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","625,000","679,000","3,857,000",660,"20,056,000"
1924,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,584,000","1,802,000","8,410,000",574,"50,784,000"
1925,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,615,000","1,859,000","10,755,000",732,"53,537,000"
1925,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","650,000","739,000","4,702,000",810,"19,513,000"
1926,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,740,000","2,121,000","9,669,000",634,"45,470,000"
1926,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","637,000","838,000","3,765,000",720,"16,378,000"
1927,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","567,000","603,000","2,848,000",540,"16,803,000"
1927,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,612,000","1,747,000","9,108,000",605,"52,590,000"
1928,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","521,000","592,000","3,250,000",660,"26,000,000"
1928,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,651,000","1,874,000","9,900,000",640,"76,436,000"
1929,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","575,000","575,000","3,140,000",560,"21,038,000"
1929,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,845,000","1,924,000","11,561,000",666,"78,790,000"
1930,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,160,000","2,266,000","13,540,000",664,"54,605,000"
1930,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","690,000","734,000","2,826,000",420,"12,293,000"
1931,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,947,000","2,145,000","11,970,000",662,"24,799,000"
1931,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","635,000","690,000","3,378,000",560,"6,080,000"
1932,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","552,000","569,000","4,900,000",920,"7,350,000"
1932,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,431,000","1,625,000","10,410,000",766,"20,533,000"
1933,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,729,000","1,895,000","12,065,000",738,"33,479,000"
1933,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","567,000","573,000","3,994,000",730,"8,986,000"
1934,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","632,000","665,000","3,898,000",661,"10,720,000"
1934,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,461,000","1,985,000","10,656,000",780,"37,526,000"
1935,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","530,000","565,000","4,528,000",890,"10,188,000"
1935,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,865,000","2,087,000","13,333,000",769,"39,293,000"
1936,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","480,000","576,000","2,353,000",570,"14,118,000"
1936,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,626,000","1,950,000","10,767,000",727,"57,835,000"
1937,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,695,000","1,911,000","14,940,000",934,"46,240,000"
1937,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","450,000","472,000","3,972,000",910,"10,129,000"
1938,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,643,000","1,759,000","14,717,000",956,"37,657,000"
1938,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","466,000","477,000","4,407,000",980,"8,153,000"
1939,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,679,000","1,876,000","14,254,000",896,"46,265,000"
1939,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","492,000","499,000","4,764,000",988,"13,339,000"
1940,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","570,000","618,000","4,029,000",760,"14,102,000"
1940,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,903,000","2,079,000","15,790,000",890,"50,185,000"
1941,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,019,000","2,250,000","17,100,000",919,"77,727,000"
1941,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","684,000","791,000","4,793,000",770,"21,808,000"
1942,"MICHIGAN, WEST CENTRAL, NEWAYGO",26,40,123,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","7,170"," ","58,968",820," "
1942,"MICHIGAN, WEST CENTRAL, MUSKEGON",26,40,121,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,030"," ","27,690",910," "
1942,"MICHIGAN, WEST CENTRAL, MASON",26,40,105,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","4,260"," ","33,738",790," "
1942,"MICHIGAN, UPPER PENINSULA, DICKINSON",26,10,043,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",40," ",252,630," "
1942,"MICHIGAN, WEST CENTRAL, LAKE",26,40,085,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",780," ","4,986",640," "
1942,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","20,350"," ","165,852",810," "
1942,"MICHIGAN, UPPER PENINSULA, MENOMINEE",26,10,109,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",70," ",486,690," "
1942,"MICHIGAN, UPPER PENINSULA, HOUGHTON",26,10,061,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",40," ",192,480," "
1942,"US TOTAL","  ","  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,925,000","2,102,000","17,568,000",896,"90,670,000"
1942,"MICHIGAN, UPPER PENINSULA, DELTA",26,10,041,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",30," ",192,640," "
1942,"MICHIGAN, UPPER PENINSULA",26,10,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",180," ","1,122",620," "
1942,"MICHIGAN, WEST CENTRAL, OCEANA",26,40,127,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","5,110"," ","40,470",790," "
1942,"MICHIGAN, SOUTHWEST, OTTAWA",26,70,139,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,190"," ","18,678",850," "
1942,"MICHIGAN, SOUTHWEST, KENT",26,70,081,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","10,720"," ","97,968",910," "
1942,"MICHIGAN, SOUTHWEST, KALAMAZOO",26,70,077,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",570," ","5,208",910," "
1942,"MICHIGAN, SOUTHWEST, CASS",26,70,027,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",100," ",912,910," "
1942,"MICHIGAN, SOUTHWEST, BERRIEN",26,70,021,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",20," ",162,810," "
1942,"MICHIGAN, SOUTHWEST, ALLEGAN",26,70,005,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,420"," ","10,380",730," "
1942,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","15,780"," ","139,326",880," "
1942,"MICHIGAN, SOUTHEAST, WAYNE",26,90,163,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",100," ",972,970," "
1942,"MICHIGAN, SOUTHEAST, WASHTENAW",26,90,161,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,100"," ","12,060","1,100"," "
1942,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","15,080"," ","169,968","1,130"," "
1942,"MICHIGAN, SOUTHEAST, OAKLAND",26,90,125,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,790"," ","35,790",940," "
1942,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",190," ","2,256","1,190"," "
1942,MICHIGAN,26,"  ","   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","513,000","593,000","4,808,000","1,030","23,078,000"
1942,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","80,590"," ","808,860","1,000"," "
1942,"MICHIGAN, CENTRAL, CLARE",26,50,035,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",820," ","6,744",820," "
1942,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,530"," ","14,448",940," "
1942,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","23,230"," ","254,748","1,100"," "
1942,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","12,630"," ","126,960","1,010"," "
1942,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","9,340"," ","76,818",820," "
1942,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","8,830"," ","96,828","1,100"," "
1942,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","22,700"," ","221,274",970," "
1942,"MICHIGAN, CENTRAL, OSCEOLA",26,50,133,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,510"," ","11,040",730," "
1942,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","271,480"," ","3,050,124","1,120"," "
1942,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","9,000"," ","93,210","1,040"," "
1942,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","19,800"," ","211,104","1,070"," "
1942,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","89,300"," ","1,006,494","1,130"," "
1942,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","42,400"," ","464,970","1,100"," "
1942,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","5,610"," ","68,358","1,220"," "
1942,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","8,340"," ","91,458","1,100"," "
1942,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,150"," ","12,960","1,130"," "
1942,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","15,360"," ","187,158","1,220"," "
1942,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","54,600"," ","632,022","1,160"," "
1942,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","17,380"," ","195,888","1,130"," "
1942,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","68,100"," ","776,868","1,140"," "
1942,"MICHIGAN, SOUTH CENTRAL, ST JOSEPH",26,80,149,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",100," ",852,850," "
1942,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","24,850"," ","254,346","1,020"," "
1942,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,80,075,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,860"," ","36,450",940," "
1942,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","56,380"," ","642,324","1,140"," "
1942,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","3,900"," ","30,348",780," "
1942,"MICHIGAN, NORTHEAST, ALCONA",26,30,001,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",350," ","2,664",760," "
1942,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","10,480"," ","118,116","1,130"," "
1942,"MICHIGAN, NORTHEAST, ALPENA",26,30,007,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",250," ","1,824",730," "
1942,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","8,590"," ","96,816","1,130"," "
1942,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",26,80,059,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,090"," ","9,960",910," "
1942,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","15,860"," ","178,758","1,130"," "
1942,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","17,230"," ","183,702","1,070"," "
1942,"MICHIGAN, NORTHEAST, CHEBOYGAN",26,30,031,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",180," ","1,314",730," "
1942,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","2,820"," ","30,066","1,070"," "
1942,"MICHIGAN, SOUTH CENTRAL, BRANCH",26,80,023,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",710," ","6,918",970," "
1942,"MICHIGAN, SOUTH CENTRAL, BARRY",26,80,015,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","5,010"," ","50,364","1,010"," "
1942,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","90,600"," ","966,348","1,070"," "
1942,"MICHIGAN, NORTHWEST, WEXFORD",26,20,165,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,120"," ","6,480",580," "
1942,"MICHIGAN, NORTHWEST, MISSAUKEE",26,20,113,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,560"," ","12,354",790," "
1942,"MICHIGAN, NORTHEAST, CRAWFORD",26,30,039,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",10," ",48,480," "
1942,"MICHIGAN, NORTHEAST, IOSCO",26,30,069,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,350"," ","11,514",850," "
1942,"MICHIGAN, NORTHEAST, MONTMORENCY",26,30,119,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",130," ",714,550," "
1942,"MICHIGAN, NORTHEAST, OGEMAW",26,30,129,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,220"," ","9,660",790," "
1942,"MICHIGAN, NORTHEAST, OSCODA",26,30,135,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",70," ",492,700," "
1942,"MICHIGAN, NORTHEAST, OTSEGO",26,30,137,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",160," ",780,490," "
1942,"MICHIGAN, NORTHEAST, PRESQUE ISLE",26,30,141,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",160," ","1,218",760," "
1942,"MICHIGAN, NORTHEAST, ROSCOMMON",26,30,143,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",20," ",120,600," "
1942,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","12,020"," ","85,152",710," "
1942,"MICHIGAN, NORTHWEST, ANTRIM",26,20,009,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,960"," ","14,328",730," "
1942,"MICHIGAN, NORTHWEST, BENZIE",26,20,019,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",650," ","3,960",610," "
1942,"MICHIGAN, NORTHWEST, CHARLEVOIX",26,20,029,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,190"," ","9,060",760," "
1942,"MICHIGAN, NORTHWEST, EMMET",26,20,047,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",820," ","6,240",760," "
1942,"MICHIGAN, NORTHWEST, GRAND TRAVERSE",26,20,055,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,150"," ","8,058",700," "
1942,"MICHIGAN, NORTHWEST, KALKASKA",26,20,079,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",640," ","3,900",610," "
1942,"MICHIGAN, NORTHWEST, LEELANAU",26,20,089,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,240"," ","9,444",760," "
1942,"MICHIGAN, NORTHWEST, MANISTEE",26,20,101,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,690"," ","11,328",670," "
1942,"MICHIGAN, SOUTHWEST, VAN BUREN",26,70,159,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",760," ","6,018",790," "
1943,"MICHIGAN, NORTHEAST, OGEMAW",26,30,129,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,300"," ","8,940",690," "
1943,"MICHIGAN, NORTHEAST, OSCODA",26,30,135,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",150," ",960,640," "
1943,"MICHIGAN, NORTHEAST, OTSEGO",26,30,137,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",160," ",660,410," "
1943,"MICHIGAN, NORTHEAST, PRESQUE ISLE",26,30,141,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",160," ","1,140",710," "
1943,"MICHIGAN, UPPER PENINSULA, DELTA",26,10,041,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",60," ",324,540," "
1943,"MICHIGAN, UPPER PENINSULA, DICKINSON",26,10,043,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",50," ",270,540," "
1943,"MICHIGAN, NORTHEAST, ROSCOMMON",26,30,143,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",60," ",306,510," "
1943,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","11,000"," ","66,600",610," "
1943,"MICHIGAN, NORTHWEST, ANTRIM",26,20,009,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","1,200"," ","7,200",600," "
1943,"MICHIGAN, NORTHWEST, BENZIE",26,20,019,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",700," ","3,780",540," "
1943,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","17,500"," ","126,000",720," "
1943,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES","10,000"," ","72,000",720," "
1943,"MICHIGAN, NORTHWEST, CHARLEVOIX",26,20,029,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",400," ","2,400",600," "
1943,"MICHIGAN, UPPER PENINSULA, MENOMINEE",26,10,109,YEAR,"BEANS, DRY EDIBLE","ALL PRODUCTION PRACTICES",50," ",270,540," "
