YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $","PRICE RECEIVED in $ / TON","PRODUCTION in $ / TON"
1952,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,590," ","6,300",10.7," "," "," "
1952,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,SUGARBEETS,70," ",380,5.4," "," "," "
1952,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,SUGARBEETS,60," ",860,14.3," "," "," "
1952,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"3,570"," ","37,550",10.5," "," "," "
1952,"MICHIGAN, NORTHWEST, MISSAUKEE",26,20,113,YEAR,SUGARBEETS,70," ",540,7.7," "," "," "
1952,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,SUGARBEETS,70," ",540,7.7," "," "," "
1952,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"9,840"," ","113,500",11.5," "," "," "
1952,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"4,000"," ","30,400",7.6," "," "," "
1952,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"7,150"," ","72,100",10.1," "," "," "
1952,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"8,300"," ","107,300",12.9," "," "," "
1952,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"6,610"," ","74,600",11.3," "," "," "
1952,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,930," ","8,650",9.3," "," "," "
1952,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"36,830"," ","406,550",11," "," "," "
1952,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,130," ","1,870",14.4," "," "," "
1952,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"1,210"," ","10,800",8.9," "," "," "
1952,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,SUGARBEETS,240," ","2,290",9.5," "," "," "
1952,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,670," ","4,860",7.3," "," "," "
1952,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"2,210"," ","22,000",10," "," "," "
1952,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,110," ","1,190",10.8," "," "," "
1952,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"4,570"," ","43,010",9.4," "," "," "
1952,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"49,300","55,400","527,000",10.7," "," "," "
1952,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"667,400","721,700","10,169,000",15.3," "," "," "
1953,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"746,400","794,100","12,084,000",16.2," "," "," "
1953,"MICHIGAN, SOUTHWEST, ALLEGAN",26,70,005,YEAR,SUGARBEETS,80," ","1,050",13.1," "," "," "
1953,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,SUGARBEETS,80," ","1,050",13.1," "," "," "
1953,"MICHIGAN, SOUTHEAST, WAYNE",26,90,163,YEAR,SUGARBEETS,10," ",60,6," "," "," "
1953,"MICHIGAN, SOUTHEAST, WASHTENAW",26,90,161,YEAR,SUGARBEETS,220," ","3,170",14.4," "," "," "
1953,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,200"," ","9,090",7.6," "," "," "
1953,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,930," ","11,740",12.6," "," "," "
1953,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,80," ","1,280",16," "," "," "
1953,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,SUGARBEETS,50," ",410,8.2," "," "," "
1953,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,750," ","9,270",12.4," "," "," "
1953,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,240," ","1,940",8.1," "," "," "
1953,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,140," ","1,370",9.8," "," "," "
1953,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,620"," ","38,330",10.6," "," "," "
1953,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,720," ","7,290",10.1," "," "," "
1953,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,80,075,YEAR,SUGARBEETS,20," ",140,7," "," "," "
1953,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,SUGARBEETS,110," ","1,040",9.5," "," "," "
1953,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,480," ","4,600",9.6," "," "," "
1953,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,510," ","5,490",10.8," "," "," "
1953,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,"1,500"," ","14,910",9.9," "," "," "
1953,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,SUGARBEETS,80," ","1,100",13.8," "," "," "
1953,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"3,420"," ","34,570",10.1," "," "," "
1953,"MICHIGAN, NORTHWEST, MISSAUKEE",26,20,113,YEAR,SUGARBEETS,40," ",350,8.8," "," "," "
1953,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,SUGARBEETS,40," ",350,8.8," "," "," "
1953,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"10,340"," ","130,830",12.7," "," "," "
1953,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"2,670"," ","16,900",6.3," "," "," "
1953,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"6,620"," ","87,130",13.2," "," "," "
1953,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"9,270"," ","122,470",13.2," "," "," "
1953,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"6,870"," ","82,540",12," "," "," "
1953,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,000"," ","9,230",9.2," "," "," "
1953,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"36,770"," ","449,100",12.2," "," "," "
1953,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,200," ","2,290",11.5," "," "," "
1953,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"1,100"," ","12,920",11.7," "," "," "
1953,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,SUGARBEETS,260," ","2,210",8.5," "," "," "
1953,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,550," ","4,560",8.3," "," "," "
1953,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"2,090"," ","22,460",10.7," "," "," "
1953,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,170," ","2,160",12.7," "," "," "
1953,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"4,370"," ","46,600",10.7," "," "," "
1953,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"48,300","55,700","570,000",11.8," "," "," "
1954,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"876,600","964,600","14,082,000",16.1," "," "," "
1954,"MICHIGAN, UPPER PENINSULA, DELTA",26,10,041,YEAR,SUGARBEETS,90," ",760,8.4," "," "," "
1954,"MICHIGAN, SOUTHWEST, ALLEGAN",26,70,005,YEAR,SUGARBEETS,70," ","1,160",16.6," "," "," "
1954,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,SUGARBEETS,70," ","1,160",16.6," "," "," "
1954,"MICHIGAN, SOUTHEAST, WAYNE",26,90,163,YEAR,SUGARBEETS,20," ",190,9.5," "," "," "
1954,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,370"," ","15,620",11.4," "," "," "
1954,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,770," ","12,650",16.4," "," "," "
1954,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,50," ",710,14.2," "," "," "
1954,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,SUGARBEETS,20," ",160,8," "," "," "
1954,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,80," ","1,140",14.3," "," "," "
1954,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,470," ","4,700",10," "," "," "
1954,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,320," ","3,330",10.4," "," "," "
1954,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"3,100"," ","38,500",12.4," "," "," "
1954,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,900," ","9,840",10.9," "," "," "
1954,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,SUGARBEETS,230," ","2,520",11," "," "," "
1954,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,600," ","5,940",9.9," "," "," "
1954,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,880," ","9,920",11.3," "," "," "
1954,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,"2,700"," ","31,490",11.7," "," "," "
1954,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,SUGARBEETS,160," ","2,540",15.9," "," "," "
1954,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"5,470"," ","62,250",11.4," "," "," "
1954,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"13,610"," ","174,860",12.8," "," "," "
1954,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"4,900"," ","44,680",9.1," "," "," "
1954,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"9,540"," ","120,340",12.6," "," "," "
1954,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"11,150"," ","141,360",12.7," "," "," "
1954,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"8,440"," ","105,460",12.5," "," "," "
1954,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,810," ","9,900",12.2," "," "," "
1954,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"48,450"," ","596,600",12.3," "," "," "
1954,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,460," ","5,690",12.4," "," "," "
1954,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"1,460"," ","15,170",10.4," "," "," "
1954,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,SUGARBEETS,270," ","2,180",8.1," "," "," "
1954,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,830," ","7,560",9.1," "," "," "
1954,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"3,680"," ","38,770",10.5," "," "," "
1954,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,220," ","2,360",10.7," "," "," "
1954,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"6,920"," ","71,730",10.4," "," "," "
1954,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"64,100","76,600","771,000",12," "," "," "
1954,"MICHIGAN, UPPER PENINSULA",26,10,"   ",YEAR,SUGARBEETS,90," ",760,8.4," "," "," "
1955,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"12,450"," ","192,000",15.4," "," "," "
1955,"MICHIGAN, SOUTHEAST, WAYNE",26,90,163,YEAR,SUGARBEETS,20," ",180,9," "," "," "
1955,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,970," ","16,870",17.4," "," "," "
1955,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,60," ","1,010",16.8," "," "," "
1955,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,SUGARBEETS,100," ",930,9.3," "," "," "
1955,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,920," ","15,220",16.5," "," "," "
1955,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,410," ","4,410",10.8," "," "," "
1955,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,230," ","2,970",12.9," "," "," "
1955,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"4,340"," ","61,590",14.2," "," "," "
1955,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,750," ","10,050",13.4," "," "," "
1955,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,SUGARBEETS,250," ","3,320",13.3," "," "," "
1955,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,460," ","6,600",14.3," "," "," "
1955,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,600," ","8,120",13.5," "," "," "
1955,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,"1,700"," ","22,130",13," "," "," "
1955,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,SUGARBEETS,30," ",300,10," "," "," "
1955,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"3,790"," ","50,520",13.3," "," "," "
1955,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,500"," ","17,920",11.9," "," "," "
1955,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"4,770"," ","48,450",10.2," "," "," "
1955,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"9,240"," ","145,500",15.7," "," "," "
1955,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"11,290"," ","185,360",16.4," "," "," "
1955,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"10,420"," ","150,400",14.4," "," "," "
1955,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,050"," ","13,650",13," "," "," "
1955,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"49,220"," ","735,360",14.9," "," "," "
1955,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,120," ","1,710",14.3," "," "," "
1955,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,950," ","13,160",13.9," "," "," "
1955,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,SUGARBEETS,70," ",640,9.1," "," "," "
1955,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,360," ","4,550",12.6," "," "," "
1955,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"1,200"," ","16,830",14," "," "," "
1955,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,50," ",640,12.8," "," "," "
1955,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"2,750"," ","37,530",13.6," "," "," "
1955,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"60,100","63,500","885,000",14.7," "," "," "
1955,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"740,700","798,300","12,231,000",16.5," "," "," "
1955,"MICHIGAN, SOUTHEAST, WASHTENAW",26,90,161,YEAR,SUGARBEETS,130," ","2,080",16," "," "," "
1956,"MICHIGAN, SOUTHEAST, WASHTENAW",26,90,161,YEAR,SUGARBEETS,90," ",930,10.3," "," "," "
1956,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,700"," ","14,490",8.5," "," "," "
1956,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,890," ","8,840",9.9," "," "," "
1956,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,50," ",430,8.6," "," "," "
1956,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,SUGARBEETS,60," ",380,6.3," "," "," "
1956,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,730," ","8,070",11.1," "," "," "
1956,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,430," ","3,640",8.5," "," "," "
1956,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,90," ",910,10.1," "," "," "
1956,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"4,040"," ","37,690",9.3," "," "," "
1956,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,810," ","6,280",7.8," "," "," "
1956,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,SUGARBEETS,240," ","1,970",8.2," "," "," "
1956,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,590," ","6,250",10.6," "," "," "
1956,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,720," ","6,320",8.8," "," "," "
1956,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,"1,720"," ","15,060",8.8," "," "," "
1956,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,SUGARBEETS,30," ",150,5," "," "," "
1956,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"4,110"," ","36,030",8.8," "," "," "
1956,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"14,470"," ","174,390",12.1," "," "," "
1956,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"5,010"," ","37,480",7.5," "," "," "
1956,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"8,850"," ","104,330",11.8," "," "," "
1956,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"12,010"," ","138,340",11.5," "," "," "
1956,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"11,400"," ","133,630",11.7," "," "," "
1956,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,070"," ","9,300",8.7," "," "," "
1956,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"52,810"," ","597,470",11.3," "," "," "
1956,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,40," ",420,10.5," "," "," "
1956,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,760," ","7,980",10.5," "," "," "
1956,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,SUGARBEETS,60," ",560,9.3," "," "," "
1956,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,350," ","3,450",9.9," "," "," "
1956,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"1,160"," ","11,620",10," "," "," "
1956,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,70," ",780,11.1," "," "," "
1956,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"2,440"," ","24,810",10.2," "," "," "
1956,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"63,400","69,900","696,000",11," "," "," "
1956,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"784,800","831,000","12,995,000",16.6," "," "," "
1957,"MICHIGAN, SOUTHEAST, WASHTENAW",26,90,161,YEAR,SUGARBEETS,50," ",670,13.4," "," "," "
1957,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,"1,070"," ","9,470",8.9," "," "," "
1957,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,"1,770"," ","27,660",15.6," "," "," "
1957,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,70," ","1,440",20.6," "," "," "
1957,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,SUGARBEETS,20," ",110,5.5," "," "," "
1957,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,010"," ","17,700",17.5," "," "," "
1957,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,430," ","3,650",8.5," "," "," "
1957,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,160," ","1,430",8.9," "," "," "
1957,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"5,200"," ","68,700",13.2," "," "," "
1957,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,610," ","4,920",8.1," "," "," "
1957,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,80,075,YEAR,SUGARBEETS,40," ",550,13.8," "," "," "
1957,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,SUGARBEETS,180," ","2,030",11.3," "," "," "
1957,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,850," ","10,310",12.1," "," "," "
1957,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,810," ","8,710",10.8," "," "," "
1957,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"878,200","916,200","15,505,000",17.7," "," "," "
1957,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,SUGARBEETS,30," ",380,12.7," "," "," "
1957,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"3,590"," ","36,370",10.1," "," "," "
1957,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"15,500"," ","210,010",13.5," "," "," "
1957,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"4,200"," ","37,940",9," "," "," "
1957,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"10,300"," ","145,550",14.1," "," "," "
1957,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"13,740"," ","181,780",13.2," "," "," "
1957,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"12,900"," ","174,580",13.5," "," "," "
1957,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,330"," ","15,330",11.5," "," "," "
1957,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"57,970"," ","765,190",13.2," "," "," "
1957,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,90," ",890,9.9," "," "," "
1957,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"1,130"," ","13,120",11.6," "," "," "
1957,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,SUGARBEETS,50," ",390,7.8," "," "," "
1957,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,480," ","4,970",10.4," "," "," "
1957,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"1,390"," ","16,120",11.6," "," "," "
1957,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,100," ","1,250",12.5," "," "," "
1957,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"3,240"," ","36,740",11.3," "," "," "
1957,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"70,000","74,500","907,000",13," "," "," "
1957,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,690"," ","16,040",9.5," "," "," "
1958,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"71,400","77,300","1,112,000",15.6," "," "," "
1958,"MICHIGAN, SOUTHEAST, WASHTENAW",26,90,161,YEAR,SUGARBEETS,90," ","1,190",13.2," "," "," "
1958,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,"1,870"," ","35,120",18.8," "," "," "
1958,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,80," ","1,280",16," "," "," "
1958,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,130"," ","21,150",18.7," "," "," "
1958,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,390," ","5,060",13," "," "," "
1958,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,70," ","1,370",19.6," "," "," "
1958,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"5,280"," ","85,830",16.3," "," "," "
1958,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,400," ","5,590",14," "," "," "
1958,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,80,075,YEAR,SUGARBEETS,50," ",720,14.4," "," "," "
1958,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,SUGARBEETS,170," ","2,630",15.5," "," "," "
1958,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,660," ","8,750",13.3," "," "," "
1958,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,440," ","6,730",15.3," "," "," "
1958,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,680," ","9,770",14.4," "," "," "
1958,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"890,800","934,800","15,150,000",17," "," "," "
1958,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"2,440"," ","34,580",14.2," "," "," "
